id,name_ja,name_en,name_ko,name_zh-Hans,name_zh-Hant,url
JR-East,JR東日本,JR East,JR 동일본,JR东日本,JR東日本,https://www.jreast.co.jp/
TokyoMetro,東京メトロ,Tokyo Metro,도쿄 지하철,东京地铁,東京地鐵,https://www.tokyometro.jp/
Toei,都営地下鉄,Toei Subway,도에이 지하철,都营地铁,都營地鐵,https://www.kotsu.metro.tokyo.jp/
YokohamaMunicipal,横浜市営地下鉄,Yokohama Municipal Subway,요코하마 시영 지하철,横滨市营地铁,橫濱市營地鐵,https://www.city.yokohama.lg.jp/kotsu/sub/
Tokyu,東急電鉄,Tokyu Railways,도큐 전철,东急电铁,東急電鐵,https://www.tokyu.co.jp/railway/
Tobu,東武鉄道,Tobu Railway,도부 철도,东武铁道,東武鐵道,https://www.tobu.co.jp/
Odakyu,小田急電鉄,Odakyu Electric Railway,오다큐 전철,小田急电铁,小田急電鐵,https://www.odakyu.jp/
Keio,京王電鉄,Keio Corporation,게이오 전철,京王电铁,京王電鐵,https://www.keio.co.jp/
Seibu,西武鉄道,Seibu Railway,세이부 철도,西武铁道,西武鐵道,https://www.seiburailway.jp/
Keikyu,京浜急行電鉄,Keikyu Corporation,게이힌 급행 전철,京滨急行电铁,京濱急行電鐵,https://www.keikyu.co.jp/
Keisei,京成電鉄,Keisei Electric Railway,케이세이 전철,京成电铁,京成電鐵,https://www.keisei.co.jp/
Sotetsu,相模鉄道,Sagami Railway,사가미 철도,相模铁道,相模鐵道,https://www.sotetsu.co.jp/train/
TWR,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit,도쿄 임해 고속 철도,东京临海高速铁道,東京臨海高速鐵道,https://www.twr.co.jp/
KantoRailway,関東鉄道,Kanto Railway,간토 철도,关东铁道,關東鐵道,https://www.kantetsu.co.jp/
Yurikamome,ゆりかもめ,Yurikamome,유리카모메,百合鸥,百合鷗,https://www.yurikamome.co.jp/
Minatomirai,横浜高速鉄道,Yokohama Minatomirai Railway,요코하마 고속 철도,横滨高速铁道,橫濱高速鐵道,https://www.mm21railway.co.jp/
SaitamaRailway,埼玉高速鉄道,Saitama Railway Corporation,사이타마 고속 철도,埼玉高速铁道,埼玉高速鐵道,https://www.s-rail.co.jp/
Hokuso,北総鉄道,Hokuso Railway,호쿠소 철도,北总铁道,北總鐵道,https://www.hokuso-railway.co.jp/
ToyoRapid,東葉高速鉄道,Toyo Rapid Railway,도요 고속 철도,东叶高速铁道,東葉高速鐵道,https://www.toyokosoku.co.jp/
Shibayama,芝山鉄道,Shibayama Railway,시바야마 철도,芝山铁道,芝山鐵道,https://www.sibatetu.co.jp/
Chichibu,秩父鉄道,Chichibu Railway,지치부 철도,秩父铁道,秩父鐵道,https://www.chichibu-railway.co.jp/
MIR,首都圏新都市鉄道,Metropolitan Intercity Railway,수도권 신도시 철도,首都圈新都市铁道,首都圈新都市鐵道,https://www.mir.co.jp/
OdakyuHakone,小田急箱根,Odakyu Hakone,오다큐 하코네,小田急箱根,小田急箱根,https://www.hakonenavi.jp/
TamaMonorail,多摩都市モノレール,Tokyo Tama Intercity Monorail,다마 도시 모노레일,多摩都市单轨电车,多摩都市單軌電車,https://www.tama-monorail.co.jp/
ShonanMonorail,湘南モノレール,Shonan Monorail,쇼난 모노레일,湘南单轨电车,湘南單軌電車,https://www.shonan-monorail.co.jp/
TokyoMonorail,東京モノレール,Tokyo Monorail,도쿄 모노레일,东京单轨电车,東京單軌電車,https://www.tokyo-monorail.co.jp/
ChibaMonorail,千葉都市モノレール,Chiba Urban Monorail,지바 도시 모노레일,千叶都市单轨电车,千葉都市單軌電車,https://chiba-monorail.co.jp/
Ryutetsu,流鉄,Ryutetsu,류테쓰,流铁,流鐵,http://www.ryutetsu.jp/
EER,江ノ島電鉄,Enoshima Electric Railway,에노시마 전철,江之岛电铁,江之島電鐵,https://www.enoden.co.jp/
YSL,横浜シーサイドライン,Yokohama Seaside Line,요코하마 시사이드라인,横滨海岸线,橫濱海岸線,https://www.seasideline.co.jp/
Isumi,いすみ鉄道,Isumi Railway,이스미 철도,夷隅铁道,夷隅鐵道,https://isumirail.co.jp/
SNUT,埼玉新都市交通,Saitama New Urban Transit,사이타마 신도시 교통,埼玉新都市交通,埼玉新都市交通,https://www.new-shuttle.jp/
Yamaman,山万,Yamaman,야마만,山万,山萬,https://town.yukarigaoka.jp/yukariline/
Kominato,小湊鉄道,Kominato Railway,고미나토 철도,小凑铁道,小湊鐵道,https://www.kominato.co.jp/
JR-Central,JR東海,JR Central,JR 동해,JR东海,JR東海,https://jr-central.co.jp/
