id,name,name_en,name_kana,url
TokyoMetro,東京メトロ,Tokyo Metro,とうきょうめとろ,https://www.tokyometro.jp/
Toei,東京都交通局,Tokyo Metropolitan Bureau of Transportation,とうきょうとこうつうきょく,https://www.kotsu.metro.tokyo.jp/
JR-East,JR東日本,JR East,じぇいあーるひがしにほん,https://www.jreast.co.jp/
TWR,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit,とうきょうりんかいこうそくてつどう,http://www.twr.co.jp/
Tokyu,東急電鉄,Tōkyū Railway,とうきゅうでんてつ,http://www.tokyu.co.jp/
Tobu,東武鉄道,Tōbu Railway,とうぶてつどう,http://www.tobu.co.jp/
Odakyu,小田急電鉄,Odakyū Railway,おだきゅうてつどう,https://www.odakyu.jp/
Keio,京王電鉄,Keiō Corporation,けいおうでんてつ,https://www.keio.co.jp/
Seibu,西武鉄道,Seibu Railway,せいぶてつどう,https://www.seiburailway.jp/
Keikyu,京急電鉄,Keikyū Railway,けいきゅうでんてつ,http://www.keikyu.co.jp/
Keisei,京成電鉄,Keisei Electric Railway,けいせいでんてつ,http://www.keisei.co.jp/
Sotetsu,相模鉄道（相鉄）,Sagami Railway (Sōtetsu),さがみてつどう（そうてつ）,https://www.sotetsu.co.jp/
Yurikamome,ゆりかもめ,Yurikamome,ゆりかもめ,http://www.yurikamome.co.jp/
YokohamaMunicipal,横浜市交通局,"City of Yokohama, Transportation Bureau",よこはましこうつうきょく,https://www.city.yokohama.lg.jp/kotsu/
TamaMonorail,多摩都市モノレール,Tokyo Tama Intercity Monorail,たまとしものれーる,http://www.tama-monorail.co.jp/
MIR,首都圏新都市鉄道,Metropolitan Intercity Railway Company,しゅとけんしんとしてつどう,https://www.mir.co.jp/
TokyoMonorail,東京モノレール,Tokyo Monorail,とうきょうものれーる,http://www.tokyo-monorail.co.jp/
KantoBus,関東バス,Kantō Bus,かんとうばす,https://www.kanto-bus.co.jp/
KeioBus,京王バス,Keiō Bus,けいおうばす,https://www.keio-bus.com/
KokusaiKogyoBus,国際興業バス,Kokusai Kōgyō Bus,こくさいこうぎょうばす,https://5931bus.com/
NishiTokyoBus,西東京バス,Nishi Tōkyō Bus,にしとうきょうばす,https://www.nisitokyobus.co.jp/
SeibuBus,西武バス,Seibu Bus,せいぶばす,https://www.seibubus.co.jp/
SotetsuBus,相鉄バス,Sōtetsu Bus,そうてつばす,https://www.sotetsu.co.jp/bus/
TobuBus,東武バス,Tōbu Bus,とうぶばす,https://www.tobu-bus.com/pc/index.html
TokyuBus,東急バス,Tōkyū Bus,とうきゅうばす,https://www.tokyubus.co.jp/
